algoritmo,tipo,tamanho,comparacoes,tempo
bubble,entradas/entrada_1000_sorted.txt,1000,499500,0.001093
bubble,entradas/entrada_1000_sorted.txt,1000,499500,0.001060
bubble,entradas/entrada_1000_sorted.txt,1000,499500,0.001125
bubble,entradas/entrada_5000_sorted.txt,5000,12497500,0.027008
bubble,entradas/entrada_5000_sorted.txt,5000,12497500,0.026150
bubble,entradas/entrada_5000_sorted.txt,5000,12497500,0.026295
bubble,entradas/entrada_10000_sorted.txt,10000,49995000,0.104905
bubble,entradas/entrada_10000_sorted.txt,10000,49995000,0.105152
bubble,entradas/entrada_10000_sorted.txt,10000,49995000,0.103353
bubble,entradas/entrada_50000_sorted.txt,50000,1249975000,2.589829
bubble,entradas/entrada_50000_sorted.txt,50000,1249975000,2.606261
bubble,entradas/entrada_50000_sorted.txt,50000,1249975000,2.604706
bubble,entradas/entrada_100000_sorted.txt,100000,4999950000,10.337589
bubble,entradas/entrada_100000_sorted.txt,100000,4999950000,10.436210
bubble,entradas/entrada_100000_sorted.txt,100000,4999950000,10.374069
bubble,entradas/entrada_250000_sorted.txt,250000,31249875000,64.546227
bubble,entradas/entrada_250000_sorted.txt,250000,31249875000,63.057271
bubble,entradas/entrada_250000_sorted.txt,250000,31249875000,62.751550
bubble,entradas/entrada_500000_sorted.txt,500000,124999750000,251.275345
bubble,entradas/entrada_500000_sorted.txt,500000,124999750000,250.855472
bubble,entradas/entrada_500000_sorted.txt,500000,124999750000,250.997594
bubble,entradas/entrada_750000_sorted.txt,750000,281249625000,564.600075
bubble,entradas/entrada_750000_sorted.txt,750000,281249625000,564.489989
bubble,entradas/entrada_750000_sorted.txt,750000,281249625000,564.326751
bubble,entradas/entrada_1000000_sorted.txt,1000000,499999500000,1003.430116
bubble,entradas/entrada_1000000_sorted.txt,1000000,499999500000,1003.555667
bubble,entradas/entrada_1000000_sorted.txt,1000000,499999500000,1003.275015
bubble,entradas/entrada_1000_random.txt,1000,499500,0.001667
bubble,entradas/entrada_1000_random.txt,1000,499500,0.001818
bubble,entradas/entrada_1000_random.txt,1000,499500,0.001763
bubble,entradas/entrada_5000_random.txt,5000,12497500,0.046860
bubble,entradas/entrada_5000_random.txt,5000,12497500,0.047297
bubble,entradas/entrada_5000_random.txt,5000,12497500,0.046696
bubble,entradas/entrada_10000_random.txt,10000,49995000,0.210712
bubble,entradas/entrada_10000_random.txt,10000,49995000,0.205561
bubble,entradas/entrada_10000_random.txt,10000,49995000,0.205454
bubble,entradas/entrada_50000_random.txt,50000,1249975000,6.113653
bubble,entradas/entrada_50000_random.txt,50000,1249975000,6.104345
bubble,entradas/entrada_50000_random.txt,50000,1249975000,6.109743
bubble,entradas/entrada_100000_random.txt,100000,4999950000,24.781546
bubble,entradas/entrada_100000_random.txt,100000,4999950000,24.851574
bubble,entradas/entrada_100000_random.txt,100000,4999950000,24.875052
bubble,entradas/entrada_250000_random.txt,250000,31249875000,155.903094
bubble,entradas/entrada_250000_random.txt,250000,31249875000,155.763789
bubble,entradas/entrada_250000_random.txt,250000,31249875000,156.057945
bubble,entradas/entrada_500000_random.txt,500000,124999750000,622.800016
bubble,entradas/entrada_500000_random.txt,500000,124999750000,624.227197
bubble,entradas/entrada_500000_random.txt,500000,124999750000,625.226477
bubble,entradas/entrada_750000_random.txt,750000,281249625000,1404.501560
bubble,entradas/entrada_750000_random.txt,750000,281249625000,1399.821604
bubble,entradas/entrada_750000_random.txt,750000,281249625000,1399.991576
bubble,entradas/entrada_1000000_random.txt,1000000,499999500000,2499.064478
bubble,entradas/entrada_1000000_random.txt,1000000,499999500000,2497.623985
bubble,entradas/entrada_1000000_random.txt,1000000,499999500000,2498.397076
bubble,entradas/entrada_1000_desc.txt,1000,499500,0.001728
bubble,entradas/entrada_1000_desc.txt,1000,499500,0.001975
bubble,entradas/entrada_1000_desc.txt,1000,499500,0.001745
bubble,entradas/entrada_5000_desc.txt,5000,12497500,0.043768
bubble,entradas/entrada_5000_desc.txt,5000,12497500,0.042341
bubble,entradas/entrada_5000_desc.txt,5000,12497500,0.042869
bubble,entradas/entrada_10000_desc.txt,10000,49995000,0.170242
bubble,entradas/entrada_10000_desc.txt,10000,49995000,0.167021
bubble,entradas/entrada_10000_desc.txt,10000,49995000,0.166520
bubble,entradas/entrada_50000_desc.txt,50000,1249975000,4.252000
bubble,entradas/entrada_50000_desc.txt,50000,1249975000,4.218752
bubble,entradas/entrada_50000_desc.txt,50000,1249975000,4.210023
bubble,entradas/entrada_100000_desc.txt,100000,4999950000,16.811817
bubble,entradas/entrada_100000_desc.txt,100000,4999950000,16.785560
bubble,entradas/entrada_100000_desc.txt,100000,4999950000,16.786006
bubble,entradas/entrada_250000_desc.txt,250000,31249875000,104.894829
bubble,entradas/entrada_250000_desc.txt,250000,31249875000,104.855908
bubble,entradas/entrada_250000_desc.txt,250000,31249875000,104.864805
bubble,entradas/entrada_500000_desc.txt,500000,124999750000,415.094155
bubble,entradas/entrada_500000_desc.txt,500000,124999750000,415.086361
bubble,entradas/entrada_500000_desc.txt,500000,124999750000,415.160497
bubble,entradas/entrada_750000_desc.txt,750000,281249625000,933.706361
bubble,entradas/entrada_750000_desc.txt,750000,281249625000,933.655858
bubble,entradas/entrada_750000_desc.txt,750000,281249625000,933.724474
bubble,entradas/entrada_1000000_desc.txt,1000000,499999500000,1659.870805
bubble,entradas/entrada_1000000_desc.txt,1000000,499999500000,1659.950457
bubble,entradas/entrada_1000000_desc.txt,1000000,499999500000,1660.126517
insertion,entradas/entrada_1000_sorted.txt,1000,0,0.000004
insertion,entradas/entrada_1000_sorted.txt,1000,0,0.000003
insertion,entradas/entrada_1000_sorted.txt,1000,0,0.000004
insertion,entradas/entrada_5000_sorted.txt,5000,0,0.000030
insertion,entradas/entrada_5000_sorted.txt,5000,0,0.000015
insertion,entradas/entrada_5000_sorted.txt,5000,0,0.000016
insertion,entradas/entrada_10000_sorted.txt,10000,0,0.000030
insertion,entradas/entrada_10000_sorted.txt,10000,0,0.000031
insertion,entradas/entrada_10000_sorted.txt,10000,0,0.000030
insertion,entradas/entrada_50000_sorted.txt,50000,0,0.000165
insertion,entradas/entrada_50000_sorted.txt,50000,0,0.000302
insertion,entradas/entrada_50000_sorted.txt,50000,0,0.000148
insertion,entradas/entrada_100000_sorted.txt,100000,0,0.000302
insertion,entradas/entrada_100000_sorted.txt,100000,0,0.000297
insertion,entradas/entrada_100000_sorted.txt,100000,0,0.000297
insertion,entradas/entrada_250000_sorted.txt,250000,0,0.000745
insertion,entradas/entrada_250000_sorted.txt,250000,0,0.000741
insertion,entradas/entrada_250000_sorted.txt,250000,0,0.000747
insertion,entradas/entrada_500000_sorted.txt,500000,0,0.001545
insertion,entradas/entrada_500000_sorted.txt,500000,0,0.001524
insertion,entradas/entrada_500000_sorted.txt,500000,0,0.001530
insertion,entradas/entrada_750000_sorted.txt,750000,0,0.002330
insertion,entradas/entrada_750000_sorted.txt,750000,0,0.002309
insertion,entradas/entrada_750000_sorted.txt,750000,0,0.002322
insertion,entradas/entrada_1000000_sorted.txt,1000000,0,0.003112
insertion,entradas/entrada_1000000_sorted.txt,1000000,0,0.003122
insertion,entradas/entrada_1000000_sorted.txt,1000000,0,0.003108
insertion,entradas/entrada_1000_random.txt,1000,248386,0.000570
insertion,entradas/entrada_1000_random.txt,1000,248386,0.000573
insertion,entradas/entrada_1000_random.txt,1000,248386,0.000568
insertion,entradas/entrada_5000_random.txt,5000,6211827,0.014029
insertion,entradas/entrada_5000_random.txt,5000,6211827,0.014057
insertion,entradas/entrada_5000_random.txt,5000,6211827,0.013877
insertion,entradas/entrada_10000_random.txt,10000,25182120,0.058157
insertion,entradas/entrada_10000_random.txt,10000,25182120,0.055243
insertion,entradas/entrada_10000_random.txt,10000,25182120,0.055155
insertion,entradas/entrada_50000_random.txt,50000,622694216,1.357275
insertion,entradas/entrada_50000_random.txt,50000,622694216,1.351338
insertion,entradas/entrada_50000_random.txt,50000,622694216,1.347057
insertion,entradas/entrada_100000_random.txt,100000,2501165412,5.430903
insertion,entradas/entrada_100000_random.txt,100000,2501165412,5.414694
insertion,entradas/entrada_100000_random.txt,100000,2501165412,5.414792
insertion,entradas/entrada_250000_random.txt,250000,15589365224,33.815262
insertion,entradas/entrada_250000_random.txt,250000,15589365224,33.754127
insertion,entradas/entrada_250000_random.txt,250000,15589365224,33.755422
insertion,entradas/entrada_500000_random.txt,500000,62514909695,135.528030
insertion,entradas/entrada_500000_random.txt,500000,62514909695,135.472035
insertion,entradas/entrada_500000_random.txt,500000,62514909695,135.514566
insertion,entradas/entrada_750000_random.txt,750000,140486562334,304.799515
insertion,entradas/entrada_750000_random.txt,750000,140486562334,304.728038
insertion,entradas/entrada_750000_random.txt,750000,140486562334,304.708894
insertion,entradas/entrada_1000000_random.txt,1000000,249899264225,541.994052
insertion,entradas/entrada_1000000_random.txt,1000000,249899264225,542.029983
insertion,entradas/entrada_1000000_random.txt,1000000,249899264225,541.950305
insertion,entradas/entrada_1000_desc.txt,1000,499500,0.001147
insertion,entradas/entrada_1000_desc.txt,1000,499500,0.001116
insertion,entradas/entrada_1000_desc.txt,1000,499500,0.001103
insertion,entradas/entrada_5000_desc.txt,5000,12497500,0.028543
insertion,entradas/entrada_5000_desc.txt,5000,12497500,0.027414
insertion,entradas/entrada_5000_desc.txt,5000,12497500,0.027534
insertion,entradas/entrada_10000_desc.txt,10000,49995000,0.110258
insertion,entradas/entrada_10000_desc.txt,10000,49995000,0.109461
insertion,entradas/entrada_10000_desc.txt,10000,49995000,0.108163
insertion,entradas/entrada_50000_desc.txt,50000,1249975000,2.717408
insertion,entradas/entrada_50000_desc.txt,50000,1249975000,2.701903
insertion,entradas/entrada_50000_desc.txt,50000,1249975000,2.710964
insertion,entradas/entrada_100000_desc.txt,100000,4999950000,10.805037
insertion,entradas/entrada_100000_desc.txt,100000,4999950000,10.793484
insertion,entradas/entrada_100000_desc.txt,100000,4999950000,10.797130
insertion,entradas/entrada_250000_desc.txt,250000,31249875000,67.687548
insertion,entradas/entrada_250000_desc.txt,250000,31249875000,67.647469
insertion,entradas/entrada_250000_desc.txt,250000,31249875000,67.644294
insertion,entradas/entrada_500000_desc.txt,500000,124999750000,271.089794
insertion,entradas/entrada_500000_desc.txt,500000,124999750000,271.167027
insertion,entradas/entrada_500000_desc.txt,500000,124999750000,271.118676
insertion,entradas/entrada_750000_desc.txt,750000,281249625000,610.187836
insertion,entradas/entrada_750000_desc.txt,750000,281249625000,610.046343
insertion,entradas/entrada_750000_desc.txt,750000,281249625000,609.941722
insertion,entradas/entrada_1000000_desc.txt,1000000,499999500000,1084.603664
insertion,entradas/entrada_1000000_desc.txt,1000000,499999500000,1084.550937
insertion,entradas/entrada_1000000_desc.txt,1000000,499999500000,1084.348821
merge,entradas/entrada_1000_sorted.txt,1000,5044,0.000076
merge,entradas/entrada_1000_sorted.txt,1000,5044,0.000073
merge,entradas/entrada_1000_sorted.txt,1000,5044,0.000085
merge,entradas/entrada_5000_sorted.txt,5000,32004,0.000428
merge,entradas/entrada_5000_sorted.txt,5000,32004,0.000419
merge,entradas/entrada_5000_sorted.txt,5000,32004,0.000400
merge,entradas/entrada_10000_sorted.txt,10000,69008,0.000906
merge,entradas/entrada_10000_sorted.txt,10000,69008,0.000888
merge,entradas/entrada_10000_sorted.txt,10000,69008,0.000998
merge,entradas/entrada_50000_sorted.txt,50000,401952,0.005243
merge,entradas/entrada_50000_sorted.txt,50000,401952,0.004843
merge,entradas/entrada_50000_sorted.txt,50000,401952,0.004805
merge,entradas/entrada_100000_sorted.txt,100000,853904,0.010525
merge,entradas/entrada_100000_sorted.txt,100000,853904,0.010206
merge,entradas/entrada_100000_sorted.txt,100000,853904,0.010313
merge,entradas/entrada_250000_sorted.txt,250000,2266608,0.027456
merge,entradas/entrada_250000_sorted.txt,250000,2266608,0.027015
merge,entradas/entrada_250000_sorted.txt,250000,2266608,0.026999
merge,entradas/entrada_500000_sorted.txt,500000,4783216,0.056473
merge,entradas/entrada_500000_sorted.txt,500000,4783216,0.054789
merge,entradas/entrada_500000_sorted.txt,500000,4783216,0.054796
merge,entradas/entrada_750000_sorted.txt,750000,7520816,0.086923
merge,entradas/entrada_750000_sorted.txt,750000,7520816,0.084297
merge,entradas/entrada_750000_sorted.txt,750000,7520816,0.084298
merge,entradas/entrada_1000000_sorted.txt,1000000,10066432,0.116045
merge,entradas/entrada_1000000_sorted.txt,1000000,10066432,0.113772
merge,entradas/entrada_1000000_sorted.txt,1000000,10066432,0.114124
merge,entradas/entrada_1000_random.txt,1000,8679,0.000126
merge,entradas/entrada_1000_random.txt,1000,8679,0.000122
merge,entradas/entrada_1000_random.txt,1000,8679,0.000121
merge,entradas/entrada_5000_random.txt,5000,55162,0.000760
